HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
Coyotes,4,16,True,Bruins,3,46,False
Golden Knights,2,34,True,Flyers,1,28,False
Ducks,1,24,False,Sharks,6,28,True
Predators,2,29,False,Senators,3,33,True
Stars,3,33,True,Red Wings,2,26,False
Lightning,4,38,True,Panthers,1,25,False
Penguins,3,31,True,Sabres,1,38,False
Maple Leafs,5,34,True,Flames,4,26,False
Canadiens,2,22,False,Kings,4,35,True
Islanders,0,16,False,Hurricanes,3,29,True
Canucks,0,35,False,Wild,3,33,True
Blues,2,32,False,Avalanche,3,31,True
Blue Jackets,6,26,True,Kings,5,38,False
Panthers,2,25,False,Kraken,5,32,True
Coyotes,5,29,True,Flyers,4,41,False
Jets,2,31,False,Capitals,5,36,True
Golden Knights,1,31,False,Bruins,3,27,True
Canadiens,2,38,True,Flames,1,35,False
Penguins,2,25,True,Stars,1,27,False
Rangers,4,23,True,Devils,3,29,False
Senators,3,38,True,Ducks,0,32,False
Wild,2,30,True,Oilers,1,21,False
Blues,1,24,True,Predators,0,25,False
Maple Leafs,7,42,True,Ducks,0,28,False
Panthers,4,26,True,Blue Jackets,0,22,False
Devils,1,36,False,Stars,4,32,True
Sabres,6,31,True,Kings,0,40,False
Bruins,4,33,True,Islanders,3,26,False
Lightning,6,30,True,Kraken,2,38,False
Red Wings,0,27,False,Hurricanes,1,27,True
Predators,3,32,False,Oilers,6,37,True
Jets,5,34,False,Golden Knights,6,33,True
Blackhawks,3,29,False,Capitals,7,30,True
Avalanche,3,25,True,Flyers,2,28,False
Sharks,3,33,True,Coyotes,2,22,False
Senators,3,31,True,Canadiens,2,25,False
Wild,4,22,True,Red Wings,1,17,False
Flames,3,38,False,Canucks,4,27,True
Canadiens,2,25,False,Ducks,5,32,True
Lightning,4,29,True,Blue Jackets,1,25,False
Capitals,1,46,False,Stars,2,26,True
Bruins,2,35,False,Kings,3,30,True
Devils,1,49,False,Flyers,2,24,True
Panthers,2,34,False,Penguins,4,39,True
Hurricanes,3,39,True,Kraken,2,17,False
Rangers,3,20,True,Maple Leafs,1,23,False
Jets,2,41,True,Predators,1,26,False
Blackhawks,1,25,False,Golden Knights,4,25,True
Avalanche,2,41,False,Sabres,4,21,True
Oilers,3,27,False,Blues,4,32,True
Wild,4,22,True,Blackhawks,1,30,False
Flames,2,43,False,Blues,5,24,True
Coyotes,5,29,True,Islanders,4,34,False
Bruins,4,39,True,Blue Jackets,2,33,False
Red Wings,3,32,False,Senators,6,28,True
Oilers,3,49,False,Ducks,4,17,True
Hurricanes,5,38,True,Stars,4,30,False
Flyers,3,32,False,Rangers,6,34,True
Canadiens,1,23,False,Lightning,5,27,True
Capitals,5,28,True,Maple Leafs,2,36,False
Devils,2,32,False,Panthers,4,29,True
Coyotes,2,31,False,Sabres,5,43,True
Avalanche,3,30,True,Predators,1,26,False
Golden Knights,2,38,False,Islanders,5,26,True
Canucks,1,23,False,Jets,5,27,True
Kings,3,41,True,Sharks,2,25,False
Wild,4,23,True,Senators,2,28,False
Hurricanes,3,29,True,Penguins,2,25,False
Blackhawks,1,30,False,Rangers,7,26,True
Kraken,3,34,True,Jets,2,17,False
Sharks,2,26,False,Flames,5,25,True
Blue Jackets,1,28,False,Stars,2,34,True
Capitals,4,42,True,Red Wings,3,19,False
Bruins,7,26,True,Panthers,3,39,False
Predators,4,35,True,Oilers,3,33,False
Avalanche,1,46,True,Islanders,0,26,False
Golden Knights,2,43,False,Sabres,3,18,True
Coyotes,2,39,False,Canadiens,3,26,True
Canucks,1,34,False,Blues,5,27,True
Flyers,5,39,True,Blue Jackets,3,33,False
Penguins,3,24,True,Rangers,2,28,False
Hurricanes,4,20,True,Devils,1,38,False
Maple Leafs,4,40,True,Lightning,1,19,False
Jets,5,24,True,Senators,1,36,False
Kraken,5,33,True,Blues,2,24,False
Kings,4,41,True,Ducks,1,25,False
Sharks,3,27,False,Flames,7,39,True
Panthers,2,36,False,Devils,4,33,True
Red Wings,7,31,True,Lightning,4,38,False
Avalanche,2,36,True,Canadiens,1,20,False
Blackhawks,2,39,False,Predators,4,37,True
Stars,3,27,False,Oilers,6,34,True
Golden Knights,5,34,True,Coyotes,2,23,False
Ducks,1,22,False,Wild,4,42,True
Maple Leafs,4,34,True,Flyers,3,19,False
Penguins,3,27,False,Hurricanes,4,36,True
Rangers,5,34,True,Islanders,3,18,False
Senators,2,25,False,Capitals,3,40,True
Bruins,3,39,True,Jets,2,27,False
Canucks,6,37,True,Kraken,5,36,False
Kings,4,32,True,Flames,3,30,False
Sharks,5,25,True,Wild,2,26,False
Devils,3,40,False,Bruins,4,23,True
Hurricanes,6,37,True,Flyers,5,31,False
Capitals,4,27,True,Jets,1,26,False
Islanders,5,43,True,Panthers,1,23,False
Predators,2,39,False,Avalanche,3,46,True
Stars,4,36,True,Canadiens,2,24,False
Blackhawks,5,38,True,Blue Jackets,2,29,False
Oilers,2,33,False,Canucks,5,30,True
Coyotes,2,24,True,Kings,1,27,False
Golden Knights,5,32,True,Blues,4,29,False
Ducks,2,23,False,Flames,3,45,True
Senators,3,32,True,Bruins,2,51,False
Hurricanes,3,49,True,Blackhawks,0,24,False
Rangers,0,32,False,Capitals,4,30,True
Islanders,5,42,True,Penguins,1,21,False
Predators,2,28,False,Stars,3,33,True
Jets,1,32,False,Wild,4,28,True
Blues,4,34,False,Maple Leafs,5,37,True
Coyotes,6,33,True,Avalanche,3,31,False
Flames,1,47,False,Oilers,2,22,True
Canucks,6,25,True,Sharks,2,26,False
Kings,4,25,True,Golden Knights,2,25,False
Lightning,4,38,True,Canadiens,1,26,False
Devils,1,31,False,Bruins,3,27,True
Penguins,4,31,False,Red Wings,5,46,True
Kraken,2,31,False,Flames,3,44,True
Ducks,3,27,True,Golden Knights,2,51,False
Sabres,6,35,True,Red Wings,3,31,False
Panthers,7,41,True,Canadiens,2,27,False
Lightning,2,40,True,Rangers,1,46,False
Capitals,3,23,False,Senators,4,45,True
Islanders,2,36,True,Blue Jackets,1,21,False
Blues,3,29,True,Blackhawks,1,22,False
Wild,1,24,False,Stars,4,43,True
Jets,4,39,True,Canucks,2,22,False
Avalanche,4,27,False,Kings,5,27,True
Coyotes,6,23,True,Maple Leafs,3,32,False
Sharks,3,28,False,Flyers,4,26,True
Ducks,1,27,False,Predators,6,43,True
Penguins,2,27,False,Devils,4,28,True
Hurricanes,4,34,True,Panthers,0,19,False
Kraken,2,38,False,Oilers,7,32,True
Bruins,3,40,False,Sabres,4,25,True
Blue Jackets,4,38,True,Blackhawks,1,28,False
Golden Knights,5,32,True,Predators,4,37,False
Capitals,9,40,True,Canadiens,2,33,False
Kings,2,29,False,Flyers,4,23,True
Lightning,5,35,True,Coyotes,3,31,False
Blues,2,31,False,Wild,5,32,True
Red Wings,4,25,True,Senators,2,23,False
Avalanche,2,28,False,Maple Leafs,6,32,True
Stars,5,31,True,Sharks,2,31,False
Flames,3,30,True,Canucks,2,24,False
Oilers,1,32,False,Jets,2,17,True
Devils,4,28,False,Hurricanes,5,47,True
Panthers,3,35,False,Rangers,5,28,True
Senators,3,33,True,Sabres,1,34,False
Blackhawks,2,22,False,Sharks,5,28,True
Kraken,4,35,True,Islanders,1,19,False
Bruins,2,29,True,Penguins,1,27,False
Avalanche,2,29,False,Golden Knights,3,28,True
